student_id,name,registration_date,gender,branch,city,cgpa,attendance_percent,technical_skills,projects_completed,coding_problems_solved,communication_skill,internship,has_backlog,tech_events_attended,salary_expectation,placed
STU0227,Student 227,2026-03-11,Female,electrical,Varanasi,7.02,68.1,6,2,227,5.0,No,No,2,706961,Yes
STU0228,Student 228,2026-04-12,Female,i.t.,Gorakhpur,8.37,66.9,5,3,168,2.0,Yes,No,5,462958,Yes
STU0229,Student 229,2026-05-13,Female,civil,Gorakhpur,6.79,90.4,6,4,187,4.6,No,Yes,4,674286,Yes
STU0230,Student 230,2026-06-14,Female,mechanical,Delhi,6.81,86.9,1,3,247,4.8,Yes,No,2,394597,No
STU0231,Student 231,2026-07-15,Male,cse,Varanasi,7.59,86.5,6,1,154,4.2,No,Yes,3,854231,Yes
STU0232,Student 232,2026-08-16,Female,electronics,Varanasi,7.04,100.0,7,5,0,5.3,Yes,No,1,426865,Yes
STU0233,Student 233,2026-01-17,Female,cse,Jaunpur,5.74,57.4,7,5,240,7.9,No,No,4,640185,No
STU0234,Student 234,2026-02-18,Male,mechanical,Lucknow,8.52,77.1,3,1,226,6.7,No,Yes,2,676783,No
STU0235,Student 235,2026-03-19,Female,mech,Noida,5.40,47.4,7,4,149,6.0,No,No,4,523581,No
STU0236,Student 236,2026-04-20,Male,mech,Jaunpur,9.09,70.6,9,2,97,6.8,Yes,No,2,705022,Yes
STU0237,Student 237,2026-05-21,Male,mechanical,Prayagraj,7.42,79.2,6,1,78,4.1,No,No,3,872445,Yes
STU0238,Student 238,2026-06-22,Male,ece,Gorakhpur,5.18,64.9,8,2,135,6.5,No,No,1,402347,No
STU0239,Student 239,2026-07-23,Male,it,Gorakhpur,7.00,58.2,4,2,133,7.4,No,No,3,447976,No
STU0240,Student 240,2026-08-24,Male,computer science,Kanpur,6.45,74.2,7,2,333,6.1,Yes,No,2,452458,Yes
STU0241,Student 241,2026-01-25,Female,civil,Noida,7.20,79.6,10,0,0,6.6,Yes,No,1,543690,Yes
STU0242,Student 242,2026-02-26,Male,eee,Varanasi,6.16,100.0,5,1,193,4.3,Yes,No,5,774739,Yes
STU0243,Student 243,2026-03-27,Male,cse,Lucknow,7.23,72.5,2,2,112,6.6,No,No,3,569565,Yes
STU0244,Student 244,2026-04-01,Male,electrical,Jaunpur,8.13,70.9,5,2,135,4.9,No,Yes,3,207963,No
STU0245,Student 245,2026-05-02,Female,CSE,Prayagraj,4.78,54.8,6,3,236,4.8,Yes,No,3,590125,Yes
STU0246,Student 246,2026-06-03,Female,cse,Noida,5.92,79.5,6,3,124,4.8,Yes,No,4,864234,Yes
STU0247,Student 247,2026-07-04,Female,it,Kanpur,6.25,93.3,7,6,267,6.3,Yes,No,2,666342,Yes
STU0248,Student 248,2026-08-05,Female,civil,Delhi,6.73,87.5,3,1,0,5.9,No,No,0,643334,No
STU0249,Student 249,2026-01-06,Male,it,Varanasi,6.93,57.2,7,3,110,6.4,No,No,0,414264,Yes
STU0250,Student 250,2026-02-07,Female,computer science,Gorakhpur,6.85,100.0,5,2,286,4.8,No,No,8,922628,Yes
STU0251,Student 251,2026-03-08,Male,CSE,Varanasi,6.21,65.7,4,5,1,8.0,Yes,Yes,4,683215,Yes
STU0252,Student 252,2026-04-09,Female,ece,Kanpur,6.38,77.3,8,3,53,6.6,Yes,No,2,591516,Yes
STU0253,Student 253,2026-05-10,Male,electrical,Varanasi,9.17,55.0,6,1,216,4.0,No,Yes,4,150000,No
STU0254,Student 254,2026-06-11,Male,computer science,Delhi,8.29,66.5,5,2,223,6.8,No,No,2,388503,Yes
STU0255,Student 255,2026-07-12,Male,eee,Prayagraj,4.00,78.5,7,2,167,9.0,No,No,3,352436,No
STU0256,Student 256,2026-08-13,Male,mech,Jaunpur,6.81,87.2,6,4,0,5.2,Yes,Yes,1,716566,No
STU0257,Student 257,2026-01-14,Male,electronics,Delhi,9.28,86.4,6,1,166,6.3,No,Yes,2,988017,Yes
STU0258,Student 258,2026-02-15,Male,i.t.,Gorakhpur,9.02,36.6,4,2,174,6.1,Yes,Yes,2,396384,No
STU0259,Student 259,2026-03-16,Male,mechanical,Gorakhpur,"5,90",80.4,4,3,362,4.9,No,No,4,498025,Yes
STU0260,Student 260,2026-04-17,Male,electronics,Prayagraj,6.71,78.0,6,1,105,4.3,Yes,No,7,150000,Yes
STU0261,Student 261,2026-05-18,Female,cse,Jaunpur,8.65,81.3,8,1,373,6.2,No,Yes,0,394029,No
STU0262,Student 262,2026-06-19,Male,cse,Noida,6.55,91.5,7,4,168,7.9,No,No,3,676576,Yes
STU0263,Student 263,2026-07-20,Female,CSE,Gorakhpur,7.67,68.1,8,3,137,6.5,Yes,Yes,2,604362,Yes
STU0264,Student 264,2026-08-21,Male,cse,Lucknow,7.56,71.4,6,3,179,4.6,No,No,1,525369,No
STU0265,Student 265,2026-01-22,Male,it,Gorakhpur,8.03,58.8,4,1,210,6.9,Yes,No,3,429808,Yes
STU0266,Student 266,2026-02-23,Female,eee,Varanasi,8.97,92.9,7,2,372,6.4,No,Yes,2,707301,Yes
STU0267,Student 267,2026-03-24,Female,electronics,Kanpur,6.82,93.2,4,3,181,9.6,No,Yes,1,528833,Yes
STU0268,Student 268,2026-04-25,Female,cse,Jaunpur,8.13,69.7,5,1,245,6.0,No,No,2,424942,No
STU0269,Student 269,2026-05-26,Female,mech,Lucknow,7.16,78.4,1,2,14,5.2,No,No,6,260554,No
STU0270,Student 270,2026-06-27,Male,eee,Varanasi,5.42,65.7,2,2,202,4.2,Yes,Yes,0,740998,Yes
STU0271,Student 271,2026-07-01,Female,eee,Kanpur,6.85,73.2,10,3,102,5.0,No,Yes,1,661842,No
STU0272,Student 272,2026-08-02,Female,electronics,Varanasi,6.83,100.0,6,4,126,7.7,Yes,No,3,488759,Yes
STU0273,Student 273,2026-01-03,Female,eee,Jaunpur,7.01,92.5,7,2,77,5.8,No,No,6,822931,Yes
STU0274,Student 274,2026-02-04,Female,electronics,Delhi,7.10,65.1,7,2,192,2.9,No,No,1,732146,Yes
STU0275,Student 275,2026-03-05,Male,civil,Kanpur,8.52,80.5,9,1,70,9.1,No,No,3,340214,Yes
STU0276,Student 276,2026-04-06,Male,ece,Varanasi,6.37,73.7,10,1,176,7.5,Yes,No,3,567618,No
STU0277,Student 277,2026-05-07,Female,CSE,Noida,7.89,79.6,5,4,220,5.7,Yes,No,7,593080,No
STU0278,Student 278,2026-06-08,Female,CSE,Noida,7.66,81.5,7,2,172,5.0,Yes,No,2,560942,Yes
STU0279,Student 279,2026-07-09,Male,ece,Lucknow,7.67,79.3,3,3,273,3.7,No,No,1,457767,No
STU0280,Student 280,2026-08-10,Female,electrical,Kanpur,8.17,65.1,8,4,159,7.5,Yes,No,1,538401,Yes
STU0281,Student 281,2026-01-11,Male,ece,Delhi,5.38,60.3,6,3,344,7.6,No,No,1,582609,Yes
STU0282,Student 282,2026-02-12,Male,eee,Delhi,7.18,72.2,5,1,54,7.4,No,Yes,5,444803,No
STU0283,Student 283,2026-03-13,Female,ece,Lucknow,7.24,81.8,6,1,61,4.9,Yes,Yes,1,335315,No
STU0284,Student 284,2026-04-14,Male,computer science,Gorakhpur,7.54,82.7,4,1,149,7.9,Yes,No,1,903363,Yes
STU0285,Student 285,2026-05-15,Male,cse,Lucknow,8.18,70.7,6,3,275,9.0,No,No,1,693876,Yes
STU0286,Student 286,2026-06-16,Male,mechanical,Prayagraj,7.11,68.9,9,2,189,4.3,No,No,3,651497,Yes
STU0287,Student 287,2026-07-17,Female,mechanical,Jaunpur,6.67,91.1,3,6,185,8.4,No,Yes,4,224353,No
STU0288,Student 288,2026-08-18,Male,eee,Kanpur,6.43,49.5,4,6,157,9.8,No,No,2,536730,Yes
STU0289,Student 289,2026-01-19,Female,it,Noida,7.20,77.5,4,1,219,7.0,Yes,Yes,2,501681,No
STU0290,Student 290,2026-02-20,Male,it,Gorakhpur,5.89,52.9,6,2,19,6.7,No,No,2,377798,No
STU0291,Student 291,2026-03-21,Female,it,Noida,5.02,95.0,7,3,224,5.4,No,No,3,355832,No
STU0292,Student 292,2026-04-22,Male,ece,Gorakhpur,8.13,66.2,8,2,568,7.9,No,No,2,875232,Yes
STU0293,Student 293,2026-05-23,Female,mech,Gorakhpur,5.56,79.3,7,1,243,4.2,Yes,No,3,793836,Yes
STU0294,Student 294,2026-06-24,Male,electronics,Prayagraj,5.17,77.7,5,3,60,7.6,Yes,No,1,753995,Yes
STU0295,Student 295,2026-07-25,Male,civil,Noida,9.87,77.4,9,1,254,6.7,No,No,4,481536,Yes
STU0296,Student 296,2026-08-26,Male,electronics,Jaunpur,"6,06",82.9,6,1,271,8.4,No,No,3,554773,Yes
STU0297,Student 297,2026-01-27,Female,CSE,Gorakhpur,7.81,81.4,7,1,312,4.1,Yes,No,0,798913,Yes
STU0298,Student 298,2026-02-01,Female,civil,Kanpur,4.98,74.9,5,3,112,6.5,No,No,0,548937,No
STU0299,Student 299,2026-03-02,Male,mechanical,Lucknow,7.05,69.0,6,3,113,9.3,Yes,No,1,535561,Yes
STU0300,Student 300,2026-04-03,Female,eee,Delhi,7.19,71.6,6,2,99,6.7,Yes,Yes,2,491147,Yes
STU0301,Student 301,2026-05-04,Male,CSE,Varanasi,6.29,80.0,7,1,250,8.1,Yes,No,4,804265,Yes
STU0302,Student 302,2026-06-05,Male,computer science,Gorakhpur,7.76,86.9,9,3,253,7.7,Yes,Yes,1,510762,Yes
STU0303,Student 303,2026-07-06,Female,it,Lucknow,7.31,90.1,10,0,217,4.0,Yes,No,1,533236,Yes
STU0304,Student 304,2026-08-07,Female,electrical,Kanpur,5.74,86.2,6,6,75,9.2,No,No,3,747830,Yes
STU0305,Student 305,2026-01-08,Female,electronics,Varanasi,6.13,82.8,8,2,144,5.1,No,No,0,316537,No
STU0306,Student 306,2026-02-09,Female,eee,Delhi,6.12,85.4,5,2,275,9.4,Yes,No,3,430194,Yes
STU0307,Student 307,2026-03-10,Male,cse,Prayagraj,8.00,65.2,5,0,49,4.7,Yes,No,0,280427,No
STU0308,Student 308,2026-04-11,Male,eee,Jaunpur,7.21,54.4,5,1,188,8.6,No,No,1,372665,Yes
STU0309,Student 309,2026-05-12,Female,electrical,Prayagraj,7.44,72.8,6,2,199,6.6,No,No,4,682517,No
STU0310,Student 310,2026-06-13,Male,i.t.,Lucknow,9.09,89.8,7,2,247,4.9,No,No,1,422577,No
STU0311,Student 311,2026-07-14,Male,it,Varanasi,7.69,57.5,5,1,34,5.8,No,No,2,797455,No
STU0312,Student 312,2026-08-15,Male,it,Gorakhpur,6.27,90.4,7,2,113,6.3,Yes,Yes,6,620464,No
STU0313,Student 313,2026-01-16,Female,mechanical,Jaunpur,9.06,94.8,7,6,290,4.8,No,No,1,526413,Yes
STU0314,Student 314,2026-02-17,Male,CSE,Delhi,9.90,78.7,8,1,327,6.7,No,No,2,150000,Yes
STU0315,Student 315,2026-03-18,Female,mech,Varanasi,4.62,82.2,9,0,250,5.3,No,Yes,5,559721,No
STU0316,Student 316,2026-04-19,Female,civil,Noida,7.86,68.3,6,1,180,6.3,No,No,3,619870,No
STU0317,Student 317,2026-05-20,Female,electrical,Jaunpur,7.62,76.4,6,0,119,3.0,No,No,1,966984,No
STU0318,Student 318,2026-06-21,Female,it,Jaunpur,5.29,97.5,9,1,397,5.4,No,No,2,462653,No
STU0319,Student 319,2026-07-22,Female,electronics,Gorakhpur,7.86,76.3,4,2,200,4.6,Yes,Yes,3,548259,No
STU0320,Student 320,2026-08-23,Male,mechanical,Kanpur,7.37,87.2,6,1,203,2.9,No,No,2,851563,Yes
STU0008,Student 8,2026-08-08,Female,it,Gorakhpur,6.77,56.7,7,0,3,4.2,No,Yes,4,608896,No
